checkpoint_id,cmni,total_mns,total_neurons,activation,batch_size,dropout,epochs,num_layers,num_neurons,learning_rate
checkpoint-20241010-014342-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch31-valLoss0.0477,0.006495649454770973,0.24683467928129696,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-014502-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch32-valLoss0.0476,0.006462149336664685,0.24556167479325802,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-014623-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch33-valLoss0.0474,0.006137220289728658,0.233214371009689,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-014744-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch34-valLoss0.0472,0.006142212503196869,0.233404075121481,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-014905-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch35-valLoss0.0470,0.00613465177814244,0.23311676756941271,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-015026-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch36-valLoss0.0469,0.006313679619109013,0.2399198255261425,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-015147-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch37-valLoss0.0468,0.006143932632294867,0.23346944002720493,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-015308-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch38-valLoss0.0466,0.006211614835260798,0.23604136373991033,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-015429-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch39-valLoss0.0465,0.006309612838284048,0.23976528785479384,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-015550-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch40-valLoss0.0464,0.006106605487487969,0.2320510085245428,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-015712-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch41-valLoss0.0463,0.006064753283074307,0.23046062475682366,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-015833-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch42-valLoss0.0462,0.006042490630413415,0.22961464395570977,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-015954-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch43-valLoss0.0461,0.006036697582116488,0.22939450812042655,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-020115-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch44-valLoss0.0460,0.006217934934165704,0.23628152749829673,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-020236-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch45-valLoss0.0458,0.005798955309312865,0.22036030175388888,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-020357-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch46-valLoss0.0457,0.005989776228702058,0.2276114966906782,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-020517-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch47-valLoss0.0457,0.005906471688260761,0.2244459241539089,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-020638-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch48-valLoss0.0455,0.005978219437101373,0.2271723386098522,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-020759-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch49-valLoss0.0455,0.005877041594811185,0.22332758060282504,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-020919-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch50-valLoss0.0453,0.0058075362802095685,0.2206863786479636,38,relu,25,0.12,500,2,17,4e-06-e
checkpoint-20241010-021040-actrelu_bs25_dr0.12_ep500_nl2_nn17_lr4e-06-epoch51-valLoss0.0453,0.005447376262109246,0.20700029796015135,38,relu,25,0.12,500,2,17,4e-06-e
